bytes_08_0B	be32	byte_0C	byte_0D	byte_0E	byte_0F	file_size	path
5a 22 f8 c2	0x5A22F8C2	1	1	1	2	20392	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x04c22c34\12\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	26224	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x05df6ae5\12\0.uifont
5f 8e 00 db	0x5F8E00DB	1	1	1	2	26080	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x07e43fa4\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	18784	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x094eb83f\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26224	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x096b75dd\12\0.uifont
5f 8e 01 44	0x5F8E0144	1	1	1	5	20080	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x0ac159b1\0\1\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26200	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x0c32a433\12\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	26104	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x0d0a2f00\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	15760	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x11a3675e\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26224	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x124378a5\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	18256	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x1266b547\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26104	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x16222278\12\0.uifont
59 87 06 69	0x59870669	1	1	1	1	14440	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x1ed2aa7f\12\0.uifont
53 ef 4d c5	0x53EF4DC5	1	1	1	1	3400	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x1ed2aa7f\14\1\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26224	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x1ef7679d\12\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	26200	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x20723888\12\0.uifont
5a 22 f8 c2	0x5A22F8C2	1	1	1	2	20392	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x215e5b37\12\0.uifont
5f 8e 00 db	0x5F8E00DB	1	1	1	2	26080	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x2225fbdf\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	17008	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x22d1ca09\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26608	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x24136255\12\0.uifont
5a 22 f8 c2	0x5A22F8C2	1	1	1	2	26608	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x28a77d6d\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	20416	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x29ba3bbc\12\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	26200	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x2a9c282c\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26080	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x2e91e4e7\12\0.uifont
5a 22 f8 c2	0x5A22F8C2	1	1	1	2	15760	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x3157e4dd\12\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	26104	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x31b42554\12\0.uifont
5a 22 f8 c2	0x5A22F8C2	1	1	1	2	26128	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x338f7015\12\0.uifont
5f 8c 78 fd	0x5F8C78FD	1	1	1	2	2872	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x375ba2dc\0\153\1\0.uifont
54 0c 21 c6	0x540C21C6	1	1	1	2	22336	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x375ba2dc\0\154\0.uifont
5f 8e 01 73	0x5F8E0173	1	1	1	5	14584	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x375ba2dc\0\161\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	17584	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x3a76564f\12\0.uifont
59 87 06 69	0x59870669	1	1	1	1	14056	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x3e2629fc\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26128	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x3f3b6f2d\12\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	20416	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x4043dfb2\12\0.uifont
5f 8e 01 45	0x5F8E0145	1	1	1	3	10312	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x42c1402c\0\1\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	26104	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x4407488d\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26104	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x48b357b5\12\0.uifont
5f 8e 01 45	0x5F8E0145	1	1	1	3	10336	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x4c604a8d\0\1\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	26224	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x4cd20d68\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26104	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x539b5acd\12\0.uifont
59 87 06 69	0x59870669	1	1	1	1	14320	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x57dfcdf2\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26224	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x57fa0010\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	18256	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x5b6bd2ca\12\0.uifont
59 e5 f2 b4	0x59E5F2B4	1	1	1	2	26104	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x5f2f45f5\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	20416	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x60b75c31\12\0.uifont
5a 22 f8 c2	0x5A22F8C2	1	1	1	2	26608	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x61aa1ae0\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26200	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x65cb403d\12\0.uifont
59 88 b5 fa	0x5988B5FA	1	1	1	2	26080	E:\Games\Emulator\ACI-Reverse-Engineering\ACI-FileSystem-Research\Tools\ACI-File-Tools\output\FullGame\0x679c836a\12\0.uifont
